Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI,Series
28/6/2019,"1,144.5","1,149.5","1,143.4","1,148.4","1,148.20",1.90,0.17%,"115,738","316,223",U19
1/7/2019,"1,161.9","1,163.6","1,155.4","1,157.2","1,157.30",9.10,0.79%,"133,682","321,194",U19
2/7/2019,"1,153.5","1,156.1","1,149.3","1,150.4","1,150.60",-6.70,-0.58%,"119,790","325,410",U19
3/7/2019,"1,150.0","1,155.9","1,148.1","1,153.3","1,153.20",2.60,0.23%,"124,920","340,505",U19
4/7/2019,"1,153.2","1,157.4","1,136.7","1,141.8","1,142.20",-11.00,-0.95%,"199,165","324,931",U19
5/7/2019,"1,143.0","1,147.0","1,138.2","1,146.8","1,146.70",4.50,0.39%,"136,334","332,161",U19
8/7/2019,"1,142.5","1,144.0","1,137.4","1,141.0","1,141.30",-5.40,-0.47%,"140,711","322,871",U19
9/7/2019,"1,138.8","1,142.0","1,133.2","1,134.0","1,134.20",-7.10,-0.62%,"147,509","314,458",U19
10/7/2019,"1,137.3","1,151.9","1,136.8","1,148.7","1,148.50",14.30,1.26%,"179,515","335,614",U19
11/7/2019,"1,154.0","1,154.8","1,147.1","1,152.0","1,151.30",2.80,0.24%,"129,135","336,135",U19
12/7/2019,"1,150.9","1,153.0","1,136.7","1,141.2","1,141.60",-9.70,-0.84%,"171,333","330,159",U19
15/7/2019,"1,141.2","1,146.8","1,138.3","1,139.0","1,138.90",-2.70,-0.24%,"141,130","322,284",U19
17/7/2019,"1,136.0","1,142.8","1,134.3","1,137.2","1,136.70",-2.20,-0.19%,"151,200","331,320",U19
18/7/2019,"1,133.1","1,139.1","1,132.0","1,137.7","1,137.70",1.00,0.09%,"116,516","337,578",U19
19/7/2019,"1,146.0","1,149.5","1,144.1","1,145.1","1,145.50",7.80,0.69%,"105,752","341,425",U19
22/7/2019,"1,139.9","1,142.9","1,135.4","1,139.0","1,138.80",-6.70,-0.58%,"105,969","331,923",U19
23/7/2019,"1,141.0","1,142.0","1,134.2","1,136.9","1,136.80",-2.00,-0.18%,"100,941","333,393",U19
24/7/2019,"1,138.3","1,139.5","1,132.4","1,137.3","1,136.90",0.10,0.01%,"114,859","342,187",U19
25/7/2019,"1,137.0","1,139.5","1,136.2","1,138.2","1,138.00",1.10,0.10%,"80,891","343,493",U19
26/7/2019,"1,135.1","1,136.4","1,125.1","1,128.5","1,128.70",-9.30,-0.82%,"161,423","337,211",U19
30/7/2019,"1,130.0","1,130.8","1,121.6","1,122.7","1,123.20",-5.50,-0.49%,"115,452","334,466",U19
31/7/2019,"1,120.0","1,128.0","1,119.8","1,125.2","1,125.20",2.00,0.18%,"113,069","327,616",U19
1/8/2019,"1,122.9","1,123.3","1,116.6","1,119.3","1,119.70",-5.50,-0.49%,"132,019","340,106",U19
2/8/2019,"1,110.0","1,110.0","1,101.0","1,107.1","1,107.60",-12.10,-1.08%,"197,220","321,068",U19
5/8/2019,"1,098.6","1,105.0","1,091.8","1,091.8","1,093.60",-14.00,-1.26%,"152,441","319,489",U19
6/8/2019,"1,080.2","1,098.6","1,080.1","1,098.0","1,097.90",4.30,0.39%,"219,333","313,447",U19
7/8/2019,"1,093.6","1,102.8","1,091.2","1,093.1","1,093.20",-4.70,-0.43%,"176,458","298,503",U19
8/8/2019,"1,096.1","1,097.4","1,088.8","1,089.3","1,089.80",-3.40,-0.31%,"146,316","294,834",U19
9/8/2019,"1,092.5","1,096.5","1,082.0","1,083.5","1,083.70",-6.10,-0.56%,"128,488","281,230",U19
13/8/2019,"1,080.3","1,081.6","1,055.5","1,056.1","1,056.60",-27.10,-2.50%,"194,821","275,967",U19
14/8/2019,"1,065.0","1,074.8","1,056.0","1,061.8","1,061.60",5.00,0.47%,"235,801","268,739",U19
15/8/2019,"1,052.0","1,060.1","1,045.1","1,047.4","1,047.60",-14.00,-1.32%,"289,299","280,352",U19
16/8/2019,"1,051.0","1,072.5","1,050.8","1,069.0","1,069.30",21.70,2.07%,"263,952","271,298",U19
19/8/2019,"1,075.0","1,078.3","1,071.5","1,075.9","1,075.90",6.60,0.62%,"154,981","266,787",U19
20/8/2019,"1,077.0","1,077.3","1,063.0","1,065.0","1,065.60",-10.30,-0.96%,"183,775","269,471",U19
21/8/2019,"1,064.2","1,079.7","1,064.2","1,077.3","1,076.60",11.00,1.03%,"202,812","271,642",U19
22/8/2019,"1,072.2","1,075.0","1,057.0","1,072.2","1,071.60",-5.00,-0.46%,"221,675","262,244",U19
23/8/2019,"1,079.9","1,084.3","1,075.5","1,083.0","1,082.90",11.30,1.05%,"150,419","259,316",U19
26/8/2019,"1,064.0","1,068.7","1,056.1","1,066.4","1,066.80",-16.10,-1.49%,"240,612","272,578",U19
