date,Series Name,Underlying Close,Expiration,Day to expire,Underlying Change,ATM premium,+/-1 OTM premium
18/06/2019,U19,1111.8,27/9/2019,101d,,38.8,20.9
19/06/2019,U19,1131.2,27/9/2019,100d,19.4,39.4,22.1
20/06/2019,U19,1144.4,27/9/2019,99d,13.2,44.7,24.8
21/06/2019,U19,1141.6,27/9/2019,98d,-2.8,47.0,26.7
24/06/2019,U19,1139.2,27/9/2019,95d,-2.4,48.6,28.0
25/06/2019,U19,1143.2,27/9/2019,94d,4.0,46.2,26.8
26/06/2019,U19,1143.0,27/9/2019,93d,-0.2,43.9,26.2
27/06/2019,U19,1145.2,27/9/2019,92d,2.2,44.6,25.0
28/06/2019,U19,1148.4,27/9/2019,91d,3.2,43.8,24.4
01/07/2019,U19,1157.2,27/9/2019,88d,8.8,42.3,21.7
02/07/2019,U19,1150.4,27/9/2019,87d,-6.8,40.8,20.7
03/07/2019,U19,1153.3,27/9/2019,86d,2.9,39.5,20.5
04/07/2019,U19,1141.8,27/9/2019,85d,-11.5,40.9,21.8
05/07/2019,U19,1146.8,27/9/2019,84d,5.0,39.4,21.0
08/07/2019,U19,1141.0,27/9/2019,81d,-5.8,40.6,20.8
09/07/2019,U19,1134.0,27/9/2019,80d,-7.0,39.5,20.3
10/07/2019,U19,1148.7,27/9/2019,79d,14.7,38.9,19.0
11/07/2019,U19,1152.0,27/9/2019,78d,3.3,38.1,19.4
12/07/2019,U19,1141.2,27/9/2019,77d,-10.8,40.3,19.3
15/07/2019,U19,1139.0,27/9/2019,74d,-2.2,39.0,20.2
17/07/2019,U19,1137.2,27/9/2019,72d,-1.8,39.7,20.2
18/07/2019,U19,1137.7,27/9/2019,71d,0.5,38.0,19.5
19/07/2019,U19,1145.1,27/9/2019,70d,7.4,36.4,17.8
22/07/2019,U19,1139.0,27/9/2019,67d,-6.1,38.1,18.9
23/07/2019,U19,1136.9,27/9/2019,66d,-2.1,38.2,18.7
24/07/2019,U19,1137.3,27/9/2019,65d,0.4,37.3,18.4
25/07/2019,U19,1138.2,27/9/2019,64d,0.9,35.9,17.0
26/07/2019,U19,1128.5,27/9/2019,63d,-9.7,33.0,15.9
30/07/2019,U19,1122.7,27/9/2019,59d,-5.8,31.1,14.7
31/07/2019,U19,1125.2,27/9/2019,58d,2.5,30.3,14.6
01/08/2019,U19,1119.3,27/9/2019,57d,-5.9,29.5,13.5
02/08/2019,U19,1107.1,27/9/2019,56d,-12.2,33.6,16.3
05/08/2019,U19,1091.8,27/9/2019,53d,-15.3,35.0,15.9
06/08/2019,U19,1098.0,27/9/2019,52d,6.2,32.9,15.2
07/08/2019,U19,1093.1,27/9/2019,51d,-4.9,32.2,15.1
08/08/2019,U19,1089.3,27/9/2019,50d,-3.8,33.0,16.2
09/08/2019,U19,1083.7,27/9/2019,49d,-5.6,35.1,17.0
13/08/2019,U19,1056.1,27/9/2019,45d,-27.6,35.2,18.5
14/08/2019,U19,1061.8,27/9/2019,44d,5.7,39.7,19.7
15/08/2019,U19,1047.0,27/9/2019,43d,-14.8,38.2,21.1
16/08/2019,U19,1069.0,27/9/2019,42d,22.0,36.5,18.8
19/08/2019,U19,1075.9,27/9/2019,39d,6.9,37.0,17.9
20/08/2019,U19,1065.0,27/9/2019,38d,-10.9,35.0,17.8
21/08/2019,U19,1077.3,27/9/2019,37d,12.3,34.0,16.6
22/08/2019,U19,1072.2,27/9/2019,36d,-5.1,33.9,16.9
23/08/2019,U19,1083.0,27/9/2019,35d,10.8,34.8,17.3
26/08/2019,U19,1066.4,27/9/2019,32d,-16.6,36.7,18.4
27/08/2019,U19,1060.5,27/9/2019,31d,-5.9,37.7,19.0
28/08/2019,U19,1062.5,27/9/2019,30d,2.0,37.0,18.0
29/08/2019,U19,1077.6,27/9/2019,29d,15.1,33.5,16.0
30/08/2019,U19,1089.1,27/9/2019,28d,11.5,33.7,15.7
02/09/2019,U19,1087.5,27/9/2019,25d,-1.6,32.2,15.1
03/09/2019,U19,1080.8,27/9/2019,24d,-6.7,28.9,13.1
04/09/2019,U19,1097.2,27/9/2019,23d,16.4,27.8,11.8
05/09/2019,U19,1106.2,27/9/2019,22d,9.0,27.3,12.1
06/09/2019,U19,1105.8,27/9/2019,21d,-0.4,26.4,10.7
09/09/2019,U19,1106.2,27/9/2019,18d,0.4,25.4,9.5
10/09/2019,U19,1103.6,27/9/2019,17d,-2.6,24.3,8.4
11/09/2019,U19,1112.8,27/9/2019,16d,9.2,25.9,8.8
12/09/2019,U19,1099.9,27/9/2019,15d,-12.9,23.4,8.5
13/09/2019,U19,1102.2,27/9/2019,14d,2.3,21.0,5.7
16/09/2019,U19,1102.6,27/9/2019,11d,0.4,19.4,5.5
17/09/2019,U19,1106.2,27/9/2019,10d,3.6,21.0,4.7
18/09/2019,U19,1098.6,27/9/2019,9d,-7.6,17.7,5.1
19/09/2019,U19,1087.9,27/9/2019,8d,-10.7,19.6,4.9
20/09/2019,U19,1087.6,27/9/2019,7d,-0.3,18.4,3.4
23/09/2019,U19,1078.7,27/9/2019,4d,-8.9,14.5,1.7
24/09/2019,U19,1083.5,27/9/2019,3d,4.8,14.0,1.9
25/09/2019,U19,1079.6,27/9/2019,2d,-3.9,11.2,0.8
26/09/2019,U19,1088.6,27/9/2019,1d,9.0,12.3,0.5
27/09/2019,U19,1096.9,27/9/2019,0ms,8.3,3.7,0.2
16/09/2019,Z19,1102.0,27/12/2019,102d,,59.6,38.5
17/09/2019,Z19,1104.8,27/12/2019,101d,2.8,56.3,36.9
18/09/2019,Z19,1097.8,27/12/2019,100d,-7.0,57.0,38.4
19/09/2019,Z19,1088.1,27/12/2019,99d,-9.7,59.2,39.1
20/09/2019,Z19,1086.9,27/12/2019,98d,-1.2,58.1,37.7
23/09/2019,Z19,1079.3,27/12/2019,95d,-7.6,58.4,37.5
24/09/2019,Z19,1083.5,27/12/2019,94d,4.2,57.1,36.4
25/09/2019,Z19,1077.3,27/12/2019,93d,-6.2,56.0,35.6
26/09/2019,Z19,1084.8,27/12/2019,92d,7.5,55.8,34.1
27/09/2019,Z19,1087.9,27/12/2019,91d,3.1,50.8,31.2
30/09/2019,Z19,1084.5,27/12/2019,88d,-3.4,47.6,28.7
01/10/2019,Z19,1075.1,27/12/2019,87d,-9.4,47.6,27.3
