Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI,Series,Expiration,Day to expire,ATM premium,+/-1 OTM premium,atr,tr,atm_tv
2019-06-28,1144.5,1149.5,1143.4,1148.4,1148.2,1.9,0.0017,115738.0,316223.0,U19,2019-09-27,91d,43.8,24.4,,6.099999999999909,42.20000000000009
2019-07-01,1161.9,1163.6,1155.4,1157.2,1157.3,9.1,0.0079,133682.0,321194.0,U19,2019-09-27,88d,42.3,21.7,,8.199999999999818,35.09999999999995
2019-07-02,1153.5,1156.1,1149.3,1150.4,1150.6,-6.7,-0.0058,119790.0,325410.0,U19,2019-09-27,87d,40.8,20.7,,6.7999999999999545,40.399999999999906
2019-07-03,1150.0,1155.9,1148.1,1153.3,1153.2,2.6,0.0023,124920.0,340505.0,U19,2019-09-27,86d,39.5,20.5,,7.800000000000182,36.200000000000045
2019-07-04,1153.2,1157.4,1136.7,1141.8,1142.2,-11.0,-0.0095,199165.0,324931.0,U19,2019-09-27,85d,40.9,21.8,,20.700000000000045,32.69999999999995
2019-07-05,1143.0,1147.0,1138.2,1146.8,1146.7,4.5,0.0039,136334.0,332161.0,U19,2019-09-27,84d,39.4,21.0,,8.799999999999955,36.19999999999995
2019-07-08,1142.5,1144.0,1137.4,1141.0,1141.3,-5.4,-0.0047,140711.0,322871.0,U19,2019-09-27,81d,40.6,20.8,,6.599999999999909,31.6
2019-07-09,1138.8,1142.0,1133.2,1134.0,1134.2,-7.1,-0.0062,147509.0,314458.0,U19,2019-09-27,80d,39.5,20.3,,8.799999999999955,30.5
2019-07-10,1137.3,1151.9,1136.8,1148.7,1148.5,14.3,0.0126,179515.0,335614.0,U19,2019-09-27,79d,38.9,19.0,,15.100000000000136,37.600000000000044
2019-07-11,1154.0,1154.8,1147.1,1152.0,1151.3,2.8,0.0024,129135.0,336135.0,U19,2019-09-27,78d,38.1,19.4,,7.7000000000000455,36.1
2019-07-12,1150.9,1153.0,1136.7,1141.2,1141.6,-9.7,-0.0084,171333.0,330159.0,U19,2019-09-27,77d,40.3,19.3,,16.299999999999955,31.500000000000043
2019-07-15,1141.2,1146.8,1138.3,1139.0,1138.9,-2.7,-0.0024,141130.0,322284.0,U19,2019-09-27,74d,39.0,20.2,,8.5,28.0
2019-07-17,1136.0,1142.8,1134.3,1137.2,1136.7,-2.2,-0.0019,151200.0,331320.0,U19,2019-09-27,72d,39.7,20.2,,8.5,27.499999999999957
2019-07-18,1133.1,1139.1,1132.0,1137.7,1137.7,1.0,0.0009,116516.0,337578.0,U19,2019-09-27,71d,38.0,19.5,9.785714285714269,7.099999999999909,25.700000000000045
2019-07-19,1146.0,1149.5,1144.1,1145.1,1145.5,7.8,0.0069,105752.0,341425.0,U19,2019-09-27,70d,36.4,17.8,9.735714285714282,5.400000000000091,31.499999999999908
2019-07-22,1139.9,1142.9,1135.4,1139.0,1138.8,-6.7,-0.0058,105969.0,331923.0,U19,2019-09-27,67d,38.1,18.9,9.685714285714296,7.5,27.1
2019-07-23,1141.0,1142.0,1134.2,1136.9,1136.8,-2.0,-0.0018,100941.0,333393.0,U19,2019-09-27,66d,38.2,18.7,9.757142857142867,7.7999999999999545,26.299999999999912
2019-07-24,1138.3,1139.5,1132.4,1137.3,1136.9,0.1,0.0001,114859.0,342187.0,U19,2019-09-27,65d,37.3,18.4,9.707142857142847,7.099999999999909,25.000000000000043
2019-07-25,1137.0,1139.5,1136.2,1138.2,1138.0,1.1,0.0,80891.0,343493.0,U19,2019-09-27,64d,35.9,17.0,8.464285714285698,3.2999999999999545,24.100000000000044
2019-07-26,1135.1,1136.4,1125.1,1128.5,1128.7,-9.3,-0.0082,161423.0,337211.0,U19,2019-09-27,63d,33.0,15.9,8.642857142857142,11.300000000000182,29.5
2019-07-30,1130.0,1130.8,1121.6,1122.7,1123.2,-5.5,-0.0049,115452.0,334466.0,U19,2019-09-27,59d,31.1,14.7,8.828571428571438,9.200000000000045,28.800000000000047
2019-07-31,1120.0,1128.0,1119.8,1125.2,1125.2,2.0,0.0018,113069.0,327616.0,U19,2019-09-27,58d,30.3,14.6,8.785714285714302,8.200000000000045,30.099999999999955
2019-08-01,1122.9,1123.3,1116.6,1119.3,1119.7,-5.5,-0.0049,132019.0,340106.0,U19,2019-09-27,57d,29.5,13.5,8.185714285714296,6.7000000000000455,23.799999999999955
2019-08-02,1110.0,1110.0,1101.0,1107.1,1107.6,-12.1,-0.0108,197220.0,321068.0,U19,2019-09-27,56d,33.6,16.3,8.278571428571436,9.0,26.500000000000092
2019-08-05,1098.6,1105.0,1091.8,1091.8,1093.6,-14.0,-0.0126,152441.0,319489.0,U19,2019-09-27,53d,35.0,15.9,8.05714285714287,13.200000000000045,26.799999999999955
2019-08-06,1080.2,1098.6,1080.1,1098.0,1097.9,4.3,0.0039,219333.0,313447.0,U19,2019-09-27,52d,32.9,15.2,8.771428571428585,18.5,30.9
2019-08-07,1093.6,1102.8,1091.2,1093.1,1093.2,-4.7,-0.0043,176458.0,298503.0,U19,2019-09-27,51d,32.2,15.1,8.992857142857149,11.599999999999909,25.299999999999912
2019-08-08,1096.1,1097.4,1088.8,1089.3,1089.8,-3.4,-0.0031,146316.0,294834.0,U19,2019-09-27,50d,33.0,16.2,9.100000000000023,8.600000000000136,22.299999999999955
2019-08-09,1092.5,1096.5,1082.0,1083.5,1083.7,-6.1,-0.0056,128488.0,281230.0,U19,2019-09-27,49d,35.1,17.0,9.750000000000016,14.5,26.6
2019-08-13,1080.3,1081.6,1055.5,1056.1,1056.6,-27.1,-0.03,194821.0,275967.0,U19,2019-09-27,45d,35.2,18.5,11.078571428571438,26.09999999999991,29.100000000000094
2019-08-14,1065.0,1074.8,1056.0,1061.8,1061.6,5.0,0.0047,235801.0,268739.0,U19,2019-09-27,44d,39.7,19.7,11.864285714285725,18.799999999999955,27.90000000000005
2019-08-15,1052.0,1060.1,1045.1,1047.4,1047.6,-14.0,-0.0132,289299.0,280352.0,U19,2019-09-27,43d,38.2,21.1,12.428571428571445,15.0,35.600000000000094
2019-08-16,1051.0,1072.5,1050.8,1069.0,1069.3,21.7,0.0207,263952.0,271298.0,U19,2019-09-27,42d,36.5,18.8,13.742857142857165,21.700000000000045,30.5
2019-08-19,1075.0,1078.3,1071.5,1075.9,1075.9,6.6,0.0062,154981.0,266787.0,U19,2019-09-27,39d,37.0,17.9,13.421428571428578,6.7999999999999545,36.09999999999991
